comments,label,comments_cleaned
quá đẹp đã mua 2 lần chỗ shop rất ưng nha mọi người nên mua ạ 💚,0,đẹp mua 2 chỗ shop ưng nha mua 💚
chất lượng sản phẩm tuyệt vời giao hàng nhanh đóng gói chắc chắn,0,chất_lượng sản_phẩm tuyệt_vời giao hàng đóng_gói chắc_chắn
giao hàng nhanh đống gói cực đẹp mua shop mail không bao giờ thất vọng hết giao hàng nhanh cực trong 1 ngày sẽ ủng hộ,0,giao hàng đống gói cực đẹp mua shop mail bao_giờ thất_vọng giao hàng nhanh cực 1 ủng_hộ
mức giá sinh viên chất lượng quá tốt mình từng dùng qua màu 12 13 14 ver 3 màu 24 ver 5 và son thỏi nhưng độ lì của ver 3 vẫn nhất da ngăm ít trang điểm như mình thì dùng 13 và 14 phù hợp hơn,0,giá sinh_viên chất_lượng màu 12 13 14 ver 3 màu 24 ver 5 son thỏi độ lì ver 3 da ngăm trang_điểm mình dùng 13 và 14 phù_hợp
màu lên cực đẹp mùi thơm như kẹo,0,màu cực đẹp mùi thơm kẹo
shop gói hàng kĩ màu siêu đẹp luôn ưng quá trời ưng,0,shop gói hàng kĩ màu siêu đẹp ưng trời ưng
son đẹp lên màu xịn khỏi bàn vỏ nhìn sang chảnh cực son lì mình đi từ sáng đến chiều vẫn còn trên môi thích lắm 😍,0,son đẹp màu xịn bàn vỏ chảnh cực son lì đi chiều môi lắm 😍
mình thấy để đơn dưới 18k được tặng túi đến lúc nhận hàng lại không thấy trong khi thấy người khác được nhắn tin thì không thấy shop trả lời luôn coi thường khách hàng quá không bao giờ mua ở đây nữa son thi hạn sử dụng còn ít quá đến đầu năm 2021 mà giờ đã là tháng 8,1,đơn 18k tặng túi hàng thấy thấy được nhắn_tin không thấy shop trả_lời coi_thường khách_hàng không bao_giờ mua son thi hạn sử_dụng quá đến đầu 2021 8
son quá bé so với tưởng tượng dù đã đọc đánh giá trước đấy nhưng không ngờ bé tí xíu nhưng kích thước đấy cũng phù hợp với giá đã sale 5k tuy đã ấn hủy đơn nhưng shop vẫn giao cho mình như thế là ép người ta nhận hàng mình đã nhận để viết đánh giá cho mọi người đọc,1,son bé tưởng_tượng đọc đánh_giá đấy ngờ bé tí_xíu nhưng kích_thước đấy phù_hợp với giá đã sale 5k đã ấn_hủy_đơn nhưng shop giao thế_là ép người_ta hàng mình đã nhận viết đánh_giá cho đọc
đóng gói chắc chắn hàng chuẩn màu này canh mãi mới mua được chất son mịn khá lì đáng đồng tiền bát gạo,0,đóng_gói chắc_chắn hàng chuẩn màu canh mãi mua chất son mịn lì đồng_tiền bát gạo
màu số 1 không giống như trên ảnh không phải đỏ tươi màu đậm không giống ảnh,1,màu 1 ảnh không đỏ tươi màu đậm không giống ảnh
trời ơi son đẹp xỉu hàng chuẩn auth chất son mịn như bơ mùi khá thơm màu son đẹp đã vậy còn giao hàng nhanh nữa đóng gói hàng chắc chắn đẹp thích lắm luôn,0,trời son đẹp xỉu hàng chuẩn auth chất son mịn bơ mùi thơm màu son đẹp giao hàng đóng_gói hàng chắc_chắn đẹp lắm
đóng gói chắc chắn giao hàng nhanh son chưa thử nên chưa đánh giá được,0,đóng_gói chắc_chắn giao hàng son thử chưa đánh_giá
giao hàng nhanhgh đóng gói cẩn thận giao đúng màu son đã đặt,0,giao hàng nhanhgh đóng_gói cẩn_thận giao màu son
chất lượng sản phẩm tuyệt vời đóng gói đẹp lại có thiệp kèm theo,0,chất_lượng sản_phẩm tuyệt_vời đóng_gói đẹp thiệp kèm
son lên màu siêu đẹp giao hàng hơi lâu nhưng không sao son rất thơm ạ,0,son màu siêu đẹp giao hàng hơi son thơm
son đặc fake luôn ấy chất son chán không muốn nói gì hơn,1,son đặc fake chất son chán
nhìn son nhỏ nhỏ xinh xinh rất đẹp nhưng đánh lên cảm giác bị ăn môi,2,son nhỏ xinh_xinh đẹp đánh cảm_giác môi
